,elbow-l,elbow-r,knee-l,knee-r,kneck-l,kneck-r,leg-l,leg-r,back,Pose
315,0.0,-33.39848846798724,14.428627028590356,0.10590705038679908,90.0,62.87869659584134,-14.956964692629674,10.619655276155136,-18.641791893699335,halfMoon
316,77.7352262721076,-2.7338986751568557,167.68498152072561,1.5000068619872198,-60.10754458119544,-59.825301644924586,0.0,43.44533204076935,31.422246143090916,halfMoon
317,10.929488002180378,1000.0,173.5840536316225,1000.0,-76.15833894385965,61.24763157278565,60.308495076625626,-31.399599047379645,0.3882653061799616,halfMoon
318,35.73872508795963,-17.40983890244363,-21.646623896306647,0.0,69.52772048025807,-68.71197981584406,74.04492952930715,90.0,-27.534882190157695,halfMoon
319,0.0,0.0,6.340191745909905,1000.0,61.1134182330893,-56.309932474020215,67.12497039674494,65.6404691950955,7.125016348901798,halfMoon
320,-31.890791801845708,-33.04632181180441,1000.0,1000.0,-6.691264432552283,-6.691264432552283,1000.0,1000.0,28.300755766006375,halfMoon
321,10.619655276155129,6.5198017516569875,-60.512874327058526,-61.16699428701617,50.660237990499795,-71.099242094313,-46.29494778478422,10.738897100905444,-6.6592072661368045,halfMoon
322,66.45854671982016,11.309932474020215,12.429508364007976,-7.3770362017896725,102.68038349181982,73.62577939274269,-24.940074819553224,24.541307337843826,-17.064497805122404,halfMoon
323,1000.0,-26.56505117707799,1000.0,1000.0,-12.528807709151511,14.036243467926479,1000.0,1000.0,104.03624346792648,halfMoon
324,157.89055165624833,20.556045219583467,10.459909092929124,169.90249561592472,125.3112134396332,55.78429786756259,159.44395478041653,22.109448343751666,0.0,halfMoon
325,7.277361548169381,45.12137800105458,0.0,175.06262245163424,-78.07746956979913,70.49778081771966,0.0,-32.89091028624713,6.878790118019242,halfMoon
326,23.43073329306631,158.49856567595208,0.0,0.0,84.0938588862295,-88.21008939175394,158.49856567595208,21.501434324047906,-6.458816378718658,halfMoon
327,47.36435006343822,75.81366969916787,4.846319525856083,-23.915854240933893,99.65989307844234,73.09484190136435,-37.38039356886368,-51.71479104721827,-3.2151084811701414,halfMoon
328,88.293821705553,-68.73078953580398,27.32183569590032,14.799257379816602,85.56896068708647,-46.704728319007266,65.04025437033467,41.9256868501893,9.605204155012942,halfMoon
329,0.0,0.0,1000.0,1000.0,55.30484646876604,-69.44395478041653,1000.0,1000.0,0.0,halfMoon
330,1000.0,26.71301372731391,12.878660164138473,14.00253511499068,-36.25383773744479,90.0,84.12260739335687,67.24755877905164,6.458816378718657,halfMoon
331,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,halfMoon
332,-19.640980428502026,165.34324888423959,166.81703484145916,1000.0,83.63834648227088,-79.45038842918768,31.78303104457393,1000.0,12.98538248778784,halfMoon
333,-11.410983126765393,-0.07197136498293011,83.85337434035333,84.47245984834383,90.0,46.332219853869645,65.33772220867066,56.93189287804032,26.56505117707799,halfMoon
334,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,halfMoon
335,1000.0,13.266057344193696,1000.0,1000.0,45.73100696183539,-14.054484721532736,1000.0,1000.0,8.325650330426836,halfMoon
336,-3.159498048498707,18.107814974306557,1000.0,-51.56030061716045,54.30776749365103,81.03746126213647,-33.17467711385483,-18.983484856580347,160.2531633945739,halfMoon
337,169.33021719550334,24.70602627242316,6.082336693282045,6.082336693282045,71.2338653886626,81.53871185742865,-62.13874967353024,-62.13874967353024,5.109146242590121,halfMoon
338,19.13843694504296,0.0,3.8170597667968003,-4.334032614328243,77.61490480510568,111.70988275987123,-50.357259876560015,-81.08187021099064,5.565543979587756,halfMoon
339,170.43331401028559,-7.803387264330317,1000.0,0.0,67.17187536866824,-64.50500418619632,-73.56632736080434,99.56668598971441,-7.169110830577843,halfMoon
